"BRND_CD","STO_LOC_ID","SHPG_TRXN_ID","SHPG_TRXN_LN_DT","TRXN_BGN_TM","SRC_RGST_NBR","ITM_SKU_NUM","SRC_SLS_PRSN_NUM","SRC_SLS_CSHR_NUM","FP_SLS_AMT","FP_SLS_QTY","CLR_SLS_AMT","CLR_SLS_QTY","MD_SLS_AMT","MD_SLS_QTY","GVWY_SLS_AMT","GVWY_SLS_QTY","NET_SALES","NET_SLS_QTY","RETURN_SALES","RETURN_QTY","ANGEL_TRXN","WT_UNT_CST_AMT","CUR_TKT_RTL_UNT_AMT"
"VSS","1016456"," 000000003167875515.","2017-08-02","19:12:23.000000","3","000000000023584633","101886836","103049421"," 0000000.00","0"," 0000000.00","0"," 0000018.00","1"," 0000000.00","0"," 000000018.00","1"," 0000000.00","0","N"," 000003.860"," 0000024.95"
"VSS","1013606"," 000000003167594930.","2017-08-02","15:38:31.000000","5","000000000023579388","103101435","100709089"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 0000000.00","1"," 000000000.00","1"," 0000000.00","0","N"," 000007.100"," 0000058.00"
"VSS","1001164"," 000000003167985865.","2017-08-02","21:35:36.000000","12","000000000023078348","0","101359280"," 0000000.00","0"," 0000000.00","0"," 0000006.00","1"," 0000000.00","0"," 000000006.00","1"," 0000000.00","0","N"," 000001.540"," 0000010.00"
"VSS","1017095"," 000000003167610333.","2017-08-02","15:01:04.000000","3","000000000023547663","103070883","101788053"," 0000000.00","0"," 0000000.00","0"," 0000024.00","1"," 0000000.00","0"," 000000024.00","1"," 0000000.00","0","N"," 000006.250"," 0000034.95"
"VSS","1013599"," 000000003167593515.","2017-08-02","13:29:30.000000","3","000000000023581962","103114066","103114066"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000002.050"," 0000010.50"
"VSS","1016909"," 000000003167604000.","2017-08-02","13:18:42.000000","4","000000000023564178","101385439","103103130"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.850"," 0000010.50"
"VSS","1013582"," 000000003167591299.","2017-08-02","11:02:46.000000","2","000000000023078345","103106399","103106399"," 0000000.00","0"," 0000000.00","0"," 0000012.50","1"," 0000000.00","0"," 000000012.50","1"," 0000000.00","0","N"," 000001.980"," 0000018.00"
"VSS","1016447"," 000000003167598277.","2017-08-02","15:24:52.000000","4","000000000023559159","0","103112264"," 0000000.00","0"," 0000000.00","0"," 0000014.95","1"," 0000000.00","0"," 000000014.95","1"," 0000000.00","0","N"," 000005.710"," 0000024.95"
"VSS","1017016"," 000000003167878083.","2017-08-02","17:28:25.000000","3","000000000023566876","103039725","101825438"," 0000000.00","0"," 0000000.00","0"," 0000034.09","1"," 0000000.00","0"," 000000034.09","1"," 0000000.00","0","N"," 000007.670"," 0000035.95"
"VSS","1016454"," 000000003167874507.","2017-08-02","15:48:41.000000","3","000000000023551315","101467214","101536936"," 0000000.00","0"," 0000000.00","0"," 0000005.14","1"," 0000000.00","0"," 000000005.14","1"," 0000000.00","0","N"," 000001.740"," 0000010.50"
